,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,liveness,Loudness,Speechiness,Tempo,Time_signature,Key,Duration_ms,Mode,Speechiness.1,Valence
0,"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,Roxette,1990-05-20,258786,1,0.34,0.52,0.652,5.49e-05,0.256,-6.655,0.0274,80.609,0,11,258787,1,0.0274,0.722
1,Freedom! '90,Ladies And Gentlemen... The Best Of George Michael,George Michael,1998-11-09,388400,1,0.0998,0.675,0.873,1.48e-05,0.0541,-7.697,0.0441,91.77,0,11,388400,1,0.0441,0.817
2,Nothing Compares 2 U,I Do Not Want What I Haven't Got,Sinéad O'Connor,1990-07-01,280040,1,0.0425,0.511,0.574,2.33e-05,0.105,-7.016,0.0273,119.917,0,11,280040,1,0.0273,0.161
3,Kingston Town,Labour Of Love II,UB40,1989-01-01,231733,1,0.119,0.957,0.226,0.0358,0.0796,-14.606,0.0594,102.072,0,7,231733,1,0.0594,0.768
4,Thunderstruck,The Razors Edge,AC/DC,1990-09-24,292880,1,0.000147,0.502,0.89,0.0117,0.217,-5.175,0.0364,133.52,0,8,292880,1,0.0364,0.259
5,The King of Wishful Thinking,Indian Summer,Go West,1992-11-14,241760,1,0.033,0.669,0.868,0.0,0.0991,-7.377,0.0527,107.885,0,11,241760,1,0.0527,0.913
6,Hold On,Wilson Phillips,Wilson Phillips,1990-05-08,266866,1,0.4,0.679,0.657,0.0,0.0497,-9.897,0.0255,97.8,0,11,266867,1,0.0255,0.546
7,Something Happened on the Way to Heaven - 2016 Remaster,...But Seriously (Deluxe Edition),Phil Collins,1989-11-20,291586,1,0.184,0.656,0.88,0.00609,0.272,-4.137,0.0287,114.613,0,11,291587,0,0.0287,0.88
8,All I Wanna Do Is Make Love To You,Brigade,Heart,1990-03-25,310893,1,0.16,0.626,0.746,0.0,0.0618,-8.832,0.0282,102.896,0,4,310893,1,0.0282,0.8
9,Sit Down,Gold Mother,James,1990,244866,1,0.00263,0.561,0.706,0.00125,0.122,-9.446,0.029,126.077,0,5,244867,1,0.029,0.569
10,Hard To Handle,Shake Your Money Maker,The Black Crowes,1990-02-13,188066,1,0.00257,0.599,0.79,0.00181,0.312,-3.58,0.043,103.783,0,8,188067,1,0.043,0.961
11,Escapade,Rhythm Nation 1814,Janet Jackson,1989-09-19,283933,0,0.0226,0.804,0.945,0.000878,0.171,-7.539,0.0483,115.217,0,7,283933,1,0.0483,0.701
12,Black Velvet,Alannah Myles,Alannah Myles,1989-03-14,287440,1,0.273,0.754,0.366,9.04e-05,0.106,-10.07,0.0312,91.147,0,7,287440,1,0.0312,0.469
13,Vogue,The Immaculate Collection,Madonna,1990-11-09,317080,1,0.00348,0.748,0.84,0.00647,0.44,-7.701,0.0421,115.997,0,7,317080,1,0.0421,0.304
14,How Can We Be Lovers,Soul Provider,Michael Bolton,1989-06-27,235626,1,0.118,0.399,0.708,0.0,0.179,-10.541,0.0387,207.424,0,11,235627,0,0.0387,0.688
15,(Can't Live Without Your) Love And Affection - Remastered 2017,After The Rain (Remastered),Nelson,1990-06-26,236435,1,0.0423,0.541,0.904,0.0,0.0589,-6.384,0.0404,121.386,0,7,236435,1,0.0404,0.833
16,Release Me,Wilson Phillips,Wilson Phillips,1990-05-08,295693,1,0.448,0.724,0.471,2.5e-06,0.218,-11.143,0.0358,97.211,0,11,295693,1,0.0358,0.442
17,"Show Me Heaven - From ""Days Of Thunder""",Movie Ballads,Various Artists,2002-01-01,229920,0,0.136,0.5,0.455,0.00363,0.0646,-10.483,0.0261,155.935,0,7,229920,1,0.0261,0.563
18,Gonna Make You Sweat (Everybody Dance Now),Super Hits,C & C Music Factory,1990,244093,1,0.000851,0.557,0.798,0.675,0.183,-7.405,0.0935,112.187,0,7,244093,1,0.0935,0.794
19,Step by Step,Step By Step,New Kids On The Block,1990-06-04,267293,1,0.0274,0.787,0.63,6.69e-06,0.161,-12.295,0.0609,125.347,0,11,267293,1,0.0609,0.882
20,Groove Is in the Heart,World Clique,Deee-Lite,1990,231786,1,0.0153,0.694,0.881,0.0196,0.0851,-4.053,0.0701,121.554,0,7,231787,0,0.0701,0.924
21,(We Want) The Same Thing,Runaway Horses (Remastered & Expanded Special Edition),Belinda Carlisle,1989-10-17,239106,0,0.00901,0.646,0.899,2.61e-06,0.013,-7.032,0.0445,130.926,0,7,239107,0,0.0445,0.849
22,Sunshine On a Rainy Day,Renaissance the Classics,Various Artists,2006-08-24,286029,0,0.017,0.569,0.885,2.99e-05,0.217,-6.224,0.0512,97.919,0,4,286029,1,0.0512,0.693
23,Opposites Attract,Forever Your Girl,Paula Abdul,1988-01-01,265373,1,0.0337,0.783,0.842,2.57e-06,0.0519,-8.838,0.054,117.79,0,7,265373,1,0.054,0.933
24,Ice Ice Baby,To The Extreme,Vanilla Ice,1990-01-01,271466,1,0.027,0.98,0.535,1.68e-06,0.104,-16.035,0.058,115.744,0,8,271467,1,0.058,0.675
25,Black Cat,Rhythm Nation 1814,Janet Jackson,1989-09-19,290600,0,0.121,0.704,0.893,0.00322,0.19,-8.038,0.0477,114.953,0,8,290600,0,0.0477,0.644
26,I Wish It Would Rain Down - 2016 Remaster,...But Seriously (Deluxe Edition),Phil Collins,1989-11-20,327746,1,0.292,0.51,0.667,0.00683,0.313,-4.715,0.0294,125.887,0,7,327747,1,0.0294,0.356
27,I'll Be Your Baby Tonight (feat. UB40),Don't Explain,Robert Palmer,1990-11-05,205640,1,0.0575,0.526,0.766,0.215,0.0492,-10.348,0.0598,112.794,1,7,205640,1,0.0598,0.973
28,Where Does My Heart Beat Now,Unison,Céline Dion,1990-08-10,272866,1,0.648,0.528,0.62,1.63e-06,0.0801,-10.419,0.0285,74.051,0,9,272867,1,0.0285,0.595
29,A Little Time,Choke,The Beautiful South,1990-01-01,179586,1,0.679,0.635,0.208,3.8e-06,0.117,-15.701,0.0363,108.606,0,11,179587,1,0.0363,0.356
30,I've Been Thinking About You,Best! The Singles 16 Tracks,Londonbeat,1995-11-20,230066,1,0.0236,0.678,0.659,0.00192,0.0744,-12.695,0.0396,113.542,0,10,230067,0,0.0396,0.899
